,Unnamed: 0,Pig,Evit,Cu,Litter,Start,Weight,Feed,Time
0,1,4601,Evit000,Cu000,1,26.5,26.5,,1
1,2,4601,Evit000,Cu000,1,26.5,27.599990000000002,5.200005,2
2,3,4601,Evit000,Cu000,1,26.5,36.5,17.6,3
3,4,4601,Evit000,Cu000,1,26.5,40.29999,28.5,4
4,5,4601,Evit000,Cu000,1,26.5,49.09998,45.200001,5
5,6,4601,Evit000,Cu000,1,26.5,55.39999,56.900002,6
6,7,4601,Evit000,Cu000,1,26.5,59.59998,71.700005,7
7,8,4601,Evit000,Cu000,1,26.5,67.0,86.800001,8
8,9,4601,Evit000,Cu000,1,26.5,76.59998,104.900002,9
9,10,4601,Evit000,Cu000,1,26.5,86.5,123.0,10
10,11,4601,Evit000,Cu000,1,26.5,91.59998,140.900002,11
11,12,4601,Evit000,Cu000,1,26.5,98.59998,160.0,12
12,13,4602,Evit000,Cu035,1,28.29999,28.29999,,1
13,14,4602,Evit000,Cu035,1,28.29999,30.099990000000002,3.300003,2
14,15,4602,Evit000,Cu035,1,28.29999,38.29999,13.200001,3
15,16,4602,Evit000,Cu035,1,28.29999,44.5,26.1,4
16,17,4602,Evit000,Cu035,1,28.29999,51.59998,43.600002,5
17,18,4602,Evit000,Cu035,1,28.29999,57.59998,55.200001,6
18,19,4602,Evit000,Cu035,1,28.29999,65.0,72.800003,7
19,20,4602,Evit000,Cu035,1,28.29999,73.0,90.800003,8
20,21,4602,Evit000,Cu035,1,28.29999,82.29999000000001,112.200001,9
21,22,4602,Evit000,Cu035,1,28.29999,91.0,132.900002,10
22,23,4602,Evit000,Cu035,1,28.29999,99.69995,156.1,11
23,24,4602,Evit000,Cu035,1,28.29999,106.69995,180.0,12
24,25,4603,Evit200,Cu175,1,27.599990000000002,27.599990000000002,,1
25,26,4603,Evit200,Cu175,1,27.599990000000002,30.599990000000002,6.700005,2
26,27,4603,Evit200,Cu175,1,27.599990000000002,38.69998,17.6,3
27,28,4603,Evit200,Cu175,1,27.599990000000002,47.19998,32.800003000000004,4
28,29,4603,Evit200,Cu175,1,27.599990000000002,54.09998,50.0,5
29,30,4603,Evit200,Cu175,1,27.599990000000002,61.5,64.600002,6
30,31,4603,Evit200,Cu175,1,27.599990000000002,68.5,80.5,7
31,32,4603,Evit200,Cu175,1,27.599990000000002,75.19995,91.800003,8
32,33,4603,Evit200,Cu175,1,27.599990000000002,81.69995,110.200005,9
33,34,4603,Evit200,Cu175,1,27.599990000000002,90.19995,125.600002,10
34,35,4603,Evit200,Cu175,1,27.599990000000002,98.39996,145.0,11
35,36,4603,Evit200,Cu175,1,27.599990000000002,105.39996000000001,166.0,12
36,37,4605,Evit100,Cu035,1,31.5,31.5,,1
37,38,4605,Evit100,Cu035,1,31.5,34.79999,6.5,2
38,39,4605,Evit100,Cu035,1,31.5,40.69998,20.0,3
39,40,4605,Evit100,Cu035,1,31.5,47.69998,33.100002,4
40,41,4605,Evit100,Cu035,1,31.5,55.89999,51.800003000000004,5
41,42,4605,Evit100,Cu035,1,31.5,62.199980000000004,65.800003,6
42,43,4605,Evit100,Cu035,1,31.5,70.69995,81.700005,7
43,44,4605,Evit100,Cu035,1,31.5,78.0,97.0,8
44,45,4605,Evit100,Cu035,1,31.5,86.19995,115.300003,9
45,46,4605,Evit100,Cu035,1,31.5,94.69995,133.100002,10
46,47,4605,Evit100,Cu035,1,31.5,102.0,151.0,11
47,48,4605,Evit100,Cu035,1,31.5,109.19995,176.400002,12
48,49,4641,Evit100,Cu175,2,27.099990000000002,27.099990000000002,,1
49,50,4641,Evit100,Cu175,2,27.099990000000002,33.0,5.200001,2
50,51,4641,Evit100,Cu175,2,27.099990000000002,42.5,22.5,3
51,52,4641,Evit100,Cu175,2,27.099990000000002,50.09998,38.5,4
52,53,4641,Evit100,Cu175,2,27.099990000000002,56.5,53.300003000000004,5
53,54,4641,Evit100,Cu175,2,27.099990000000002,63.0,69.8,6
54,55,4641,Evit100,Cu175,2,27.099990000000002,72.5,85.100002,7
55,56,4641,Evit100,Cu175,2,27.099990000000002,80.5,101.10000600000001,8
56,57,4641,Evit100,Cu175,2,27.099990000000002,92.0,121.400002,9
57,58,4641,Evit100,Cu175,2,27.099990000000002,100.0,142.20000100000001,10
58,59,4641,Evit100,Cu175,2,27.099990000000002,108.39996000000001,157.0,11
59,60,4641,Evit100,Cu175,2,27.099990000000002,117.0,180.0,12
60,61,4643,Evit000,Cu000,2,27.0,27.0,,1
61,62,4643,Evit000,Cu000,2,27.0,31.79999,6.400002,2
62,63,4643,Evit000,Cu000,2,27.0,39.0,21.5,3
63,64,4643,Evit000,Cu000,2,27.0,44.79999,33.900002,4
64,65,4643,Evit000,Cu000,2,27.0,50.89999,44.900002,5
65,66,4643,Evit000,Cu000,2,27.0,57.39999,58.8,6
66,67,4643,Evit000,Cu000,2,27.0,62.5,73.700001,7
67,68,4643,Evit000,Cu000,2,27.0,71.69995,92.800003,8
68,69,4643,Evit000,Cu000,2,27.0,78.19995,111.5,9
69,70,4643,Evit000,Cu000,2,27.0,85.79999000000001,132.800003,10
